,uid,companyId,agent,validBet,score,add_time,gameName,gameId,roundId,ip,currency_rate
115,4009696,40056,2797610,0.2,-0.2,2024-08-21 20:47:45,超级王牌,320,gfg_320101_1724244464622_109939,131.226.99.78,10.000000000000
116,3830168,5143,2247099,0.2,-0.2,2024-08-21 20:47:46,招财金猪,324,gfg_324101_1724244465901_109971,182.232.177.166,5.000000000000
117,3404551,5143,2247099,0.08,-0.08,2024-08-21 20:47:46,罗马竞技场,311,gfg_311101_1724244465938_110015,183.88.248.248,5.000000000000
118,4009561,40153,3858739,0.25,-0.25,2024-08-21 20:47:46,超级王牌,320,gfg_320101_1724244465675_109811,49.144.38.252,10.000000000000
119,3606179,40153,3858739,0.2,-0.2,2024-08-21 20:47:46,宝石之星,306,gfg_306101_1724244466090_109995,175.176.85.117,10.000000000000
120,1586198,5032,1797652,0.2,-0.2,2024-08-21 20:47:47,麻将无双,305,gfg_305101_1724244467297_109265,202.137.118.171,10.000000000000
121,818673,5032,1797652,0.25,0.18,2024-08-21 20:47:48,超级王牌,320,gfg_320101_1724244468245_109565,120.29.72.114,10.000000000000
122,3524613,40010,2530158,0.4,-0.4,2024-08-21 20:47:48,麻将无双,305,gfg_305101_1724244468349_109945,119.247.239.50,1.000000000000
123,4009404,40152,3858661,0.1,-0.1,2024-08-21 20:47:48,麻将无双,305,gfg_305101_1724244468455_109665,120.29.68.210,10.000000000000
124,3524613,40010,2530158,0.4,-0.4,2024-08-21 20:47:50,麻将无双,305,gfg_305101_1724244469732_109945,119.247.239.50,1.000000000000
125,3588549,40153,3858739,0.2,-0.2,2024-08-21 20:47:51,超级王牌,320,gfg_320101_1724244471248_109791,49.145.119.202,10.000000000000
126,3404551,5143,2247099,0.08,-0.08,2024-08-21 20:47:52,罗马竞技场,311,gfg_311101_1724244472499_110015,183.88.248.248,5.000000000000
127,3871597,40056,2797610,0.5,-0.5,2024-08-21 20:47:52,777,307,gfg_307101_1724244471766_109999,131.226.108.95,10.000000000000
128,4009589,40153,3858739,0.2,-0.2,2024-08-21 20:47:53,超级王牌,320,gfg_320101_1724244472810_109849,111.90.212.63,10.000000000000
129,1517351,5143,2247099,0.32,-0.32,2024-08-21 20:47:54,麻将无双,305,gfg_305101_1724244473658_110011,182.232.218.13,5.000000000000
130,3871597,40056,2797610,0.5,0.5,2024-08-21 20:47:54,777,307,gfg_307101_1724244473660_109999,131.226.108.95,10.000000000000
131,4009404,40152,3858661,0.1,-0.1,2024-08-21 20:47:54,麻将无双,305,gfg_305101_1724244474317_109665,120.29.68.210,10.000000000000
132,4009589,40153,3858739,0.2,1.03,2024-08-21 20:47:54,超级王牌,320,gfg_320101_1724244474017_109849,111.90.212.63,10.000000000000
133,887928,5143,2247099,0.1,-0.1,2024-08-21 20:47:55,龙龙龙,313,gfg_313101_1724244475211_110025,49.237.21.33,5.000000000000
134,3978997,40056,2797610,0.2,-0.2,2024-08-21 20:47:55,超级王牌,320,gfg_320101_1724244474826_109591,136.158.71.57,10.000000000000
135,3830168,5143,2247099,0.2,-0.2,2024-08-21 20:47:56,招财金猪,324,gfg_324101_1724244475565_109971,182.232.177.166,5.000000000000
136,887928,5143,2247099,0.1,-0.1,2024-08-21 20:47:58,龙龙龙,313,gfg_313101_1724244477812_110025,49.237.21.33,5.000000000000
137,3588549,40153,3858739,0.2,-0.2,2024-08-21 20:47:58,超级王牌,320,gfg_320101_1724244478049_109791,49.145.119.202,10.000000000000
138,887928,5143,2247099,0.1,-0.1,2024-08-21 20:48:00,龙龙龙,313,gfg_313101_1724244480294_110025,49.237.21.33,5.000000000000
139,4009561,40153,3858739,0.25,-0.25,2024-08-21 20:48:00,超级王牌,320,gfg_320101_1724244480392_109811,49.144.38.252,10.000000000000
140,1586198,5032,1797652,0.2,-0.2,2024-08-21 20:48:01,麻将无双,305,gfg_305101_1724244481040_109265,202.137.118.171,10.000000000000
141,818673,5032,1797652,0.25,-0.16999999999999998,2024-08-21 20:48:03,超级王牌,320,gfg_320101_1724244482907_109565,120.29.72.114,10.000000000000
142,3886447,40064,2797634,0.15384615384615385,1.0769230769230769,2024-08-21 20:48:03,招财金猪,324,gfg_324101_1724244483282_110021,187.85.17.57,0.650000000000
143,1586198,5032,1797652,0.5,-0.5,2024-08-21 20:48:04,麻将无双,305,gfg_305101_1724244484483_109265,202.137.118.171,10.000000000000
